Table,%N2,%Ar,%CO2,partial pressure / bar,T_i (K),CR?,chamber pressure? (bar),T_C,time (ms),phi,nominal pressure(atm)
1,40,60,0,0.403,290,9.5,9.81,746,–,0.3,10
1,40,60,0,0.406,336,9.6,9.76,845,–,0.3,10
1,40,60,0,0.41,351,9.5,9.73,876,–,0.3,10
1,40,60,0,0.41,364,9.5,9.61,901,–,0.3,10
1,0,100,0,0.35,290,9.1,10.09,920,–,0.3,10
1,0,100,0,0.35,311,9.1,10.02,978,63.4,0.3,10
1,0,100,0,0.35,336,9.1,9.81,1042,8.25,0.3,10
1,0,100,0,0.35,336,9.2,9.98,1048,8.25,0.3,10
1,0,100,0,0.36,351,8.9,9.78,1074,3.36,0.3,10
1,0,100,0,0.36,351,9,9.88,1077,3.05,0.3,10
2,60,0,40,0.98,336,10.2,20.2,683,–,0.3,20
2,60,0,40,0.98,351,10.1,20.03,707,54.5,0.3,20
2,60,0,40,0.98,351,10.2,20.07,707,56,0.3,20
2,40,0,60,0.806,290,9.8,20.3,750,26.23,0.3,20
2,0,40,60,0.805,290,9.8,20.3,750,26.23,0.3,20
2,0,40,60,0.8,311,9.8,20.21,801,26.7,0.3,20
2,0,40,60,0.8,311,9.8,20.21,800,26.9,0.3,20
2,0,40,60,0.8,336,9.8,19.79,854,42,0.3,20
2,0,40,60,0.8,336,9.7,19.66,852,44.1,0.3,20
2,0,40,60,0.81,351,9.7,19.84,886,38.15,0.3,20
2,0,40,60,0.81,351,9.6,19.52,885,39.34,0.3,20
2,0,40,60,0.8,364,9.7,19.48,913,26,0.3,20
2,0,40,60,0.81,364,9.7,19.56,911,30,0.3,20
2,0,100,0,0.62,290,9.3,18.42,925,37.3,0.3,20
2,0,100,0,0.64,290,9.3,19.06,926,33.9,0.3,20
2,0,100,0,0.65,311,9.4,19.19,984,10.07,0.3,20
2,0,100,0,0.65,311,9.4,19.26,985,9.89,0.3,20
2,0,100,0,0.625,336,9.4,18.33,1053,2.45,0.3,20
2,0,100,0,0.65,336,9.4,19.01,1052,2.29,0.3,20
7,100,0,0,0.432,328,10.07,9.16,700,86.5,1,10
7,100,0,0,0.465,328,10.1,9.85,701,73.9,1,10
7,100,0,0,0.46,346,10.02,9.66,731,31.3,1,10
7,100,0,0,0.46,346,10.04,9.69,732,33,1,10
7,100,0,0,0.466,362,0.11,9.63,756,30.9,1,10
7,100,0,0,0.47,362,9.91,9.73,757,30,1,10
7,0,100,0,0.37,290,9.47,9.59,794,56,1,10
7,0,100,0,0.37,290,9.46,9.6,795,56.6,1,10
7,0,100,0,0.38,311,9.49,9.74,840,67.9,1,10
7,0,100,0,0.38,311,9.74,9.83,849,66.4,1,10
7,0,100,0,0.39,328,9.54,9.85,872,65.2,1,10
7,0,100,0,0.39,328,9.59,9.92,881,67.1,1,10
7,0,100,0,0.372,333,10.01,9.93,906,47,1,10
7,0,100,0,0.38,343,9.97,10.04,926,27.9,1,10
7,0,100,0,0.371,343,10.06,9.92,929,28.05,1,10
7,0,100,0,0.382,359,9.95,9.97,959,12,1,10
